"id","first_day_exposition","days_exposition","last_price"
0,2019-03-07,,13000000
1,2018-12-04,81.0,3350000.0
2,2015-08-20,558.0,5196000.0
3,2015-07-24,424.0,64900000
4,2018-06-19,121.0,10000000
5,2018-09-10,55.0,2890000.0
6,2017-11-02,155.0,3700000.0
7,2019-04-18,,7915000.0
8,2018-05-23,189.0,2900000.0
9,2017-02-26,289.0,5400000.0
10,2017-11-16,137.0,5050000.0
11,2018-08-27,7.0,3300000.0
12,2016-06-30,90.0,3890000.0
13,2017-07-01,366.0,3550000.0
14,2016-06-23,203.0,4400000.0
15,2017-11-18,19.0,4650000.0
16,2017-11-23,397.0,6700000.0
17,2016-09-09,571.0,4180000.0
18,2017-01-27,168.0,3250000.0
19,2019-01-09,97.0,14200000
20,2017-09-28,74.0,6120000.0
21,2018-03-14,310.0,3200000.0
22,2017-04-24,60.0,5000000.0
23,2016-10-29,615.0,2950000.0
24,2015-10-31,265.0,6500000.0
25,2015-10-01,300.0,6800000.0
26,2017-04-28,265.0,4050000.0
27,2017-05-12,151.0,7100000.0
28,2017-12-13,74.0,4170000.0
29,2016-04-09,125.0,8600000.0
30,2018-02-19,63.0,2200000.0
31,2017-10-26,112.0,7200000.0
32,2016-05-22,224.0,4990000.0
33,2018-10-15,92.0,4800000.0
34,2018-02-04,15.0,3290000.0
35,2017-06-26,644.0,15500000
36,2017-01-25,139.0,3790000.0
37,2017-10-28,196.0,1990000.0
38,2018-03-29,103.0,3150000.0
39,2018-11-29,29.0,5200000.0
40,2017-03-15,430.0,3590000.0
41,2016-05-04,179.0,7900000.0
42,2015-07-08,987.0,22000000
43,2017-01-10,763.0,9330000.0
44,2018-11-18,,5350000.0
45,2018-12-02,,5200000.0
46,2019-01-31,,6600000.0
47,2018-10-18,179.0,3600000.0
48,2017-10-03,322.0,3600000.0
49,2018-11-22,,3050000.0
50,2017-11-13,152.0,4500000.0
51,2017-10-17,541.0,45000000
52,2017-09-22,,11795000
53,2017-11-10,6.0,4300000.0
54,2017-04-14,44.0,3320000.0
55,2018-03-24,69.0,7400000.0
56,2016-03-28,152.0,4350000.0
57,2017-10-25,173.0,3200000.0
58,2017-07-05,298.0,3900000.0
59,2017-03-06,336.0,6300000.0
60,2018-01-01,11.0,2740000.0
61,2017-08-24,609.0,7990000.0
62,2017-09-17,5.0,4800000.0
63,2018-09-11,37.0,20000000
64,2017-11-07,143.0,3100000.0
65,2018-03-03,216.0,4400000.0
66,2015-12-16,186.0,3450000.0
67,2018-08-28,39.0,2550000.0
68,2017-08-04,234.0,4150000.0
69,2018-09-16,194.0,4010000.0
70,2018-09-05,14.0,3400000.0
71,2019-03-27,,4850000.0
72,2018-12-09,141.0,4500000.0
73,2016-03-14,166.0,4750000.0
74,2018-06-14,121.0,2350000.0
75,2018-02-27,36.0,4950000.0
76,2016-05-14,606.0,2800000.0
77,2016-03-13,186.0,4300000.0
78,2018-02-22,45.0,4350000.0
79,2017-12-18,463.0,2590000.0
80,2018-02-23,235.0,4050000.0
81,2018-12-27,,10949000
82,2018-01-15,60.0,4500000.0
83,2018-09-24,81.0,4200000.0
84,2019-03-13,,2400000.0
85,2018-11-26,65.0,5200000.0
86,2018-07-17,100.0,4500000.0
87,2019-04-23,,4999000.0
88,2019-04-09,,1700000.0
89,2018-10-25,45.0,2500000.0
90,2017-09-16,534.0,6450000.0
91,2015-10-28,439.0,2130000.0
