series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
The Shawshank Redemption,1994,A,142 min,Drama,9.3,80.0,"28,341,469",Drama,,
The Godfather,1972,A,175 min,"Crime, Drama",9.2,100.0,"134,966,411",Crime,Drama,
The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9.0,84.0,"534,858,444",Action,Crime,Drama
The Godfather: Part II,1974,A,202 min,"Crime, Drama",9.0,90.0,"57,300,000",Crime,Drama,
12 Angry Men,1957,U,96 min,"Crime, Drama",9.0,96.0,"4,360,000",Crime,Drama,
The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9,94.0,"377,845,905",Action,Adventure,Drama
Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9,94.0,"107,928,762",Crime,Drama,
Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9,94.0,"96,898,818",Biography,Drama,History
Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,74.0,"292,576,195",Action,Adventure,Sci-Fi
Fight Club,1999,A,139 min,Drama,8.8,66.0,"37,030,102",Drama,,
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,"Action, Adventure, Drama",8.8,92.0,"315,544,750",Action,Adventure,Drama
Forrest Gump,1994,UA,142 min,"Drama, Romance",8.8,82.0,"330,252,182",Drama,Romance,
"Il buono, il brutto, il cattivo",1966,A,161 min,Western,8.8,90.0,"6,100,000",Western,,
The Lord of the Rings: The Two Towers,2002,UA,179 min,"Action, Adventure, Drama",8.7,87.0,"342,551,365",Action,Adventure,Drama
The Matrix,1999,A,136 min,"Action, Sci-Fi",8.7,73.0,"171,479,930",Action,Sci-Fi,
Goodfellas,1990,A,146 min,"Biography, Crime, Drama",8.7,90.0,"46,836,394",Biography,Crime,Drama
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,"Action, Adventure, Fantasy",8.7,82.0,"290,475,067",Action,Adventure,Fantasy
One Flew Over the Cuckoo's Nest,1975,A,133 min,Drama,8.7,83.0,"112,000,000",Drama,,
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.6,90.0,,Biography,Drama,History
Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6,96.0,"53,367,844",Comedy,Drama,Thriller
Soorarai Pottru,2020,U,153 min,Drama,8.6,,,Drama,,
Interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,74.0,"188,020,017",Adventure,Drama,Sci-Fi
Cidade de Deus,2002,A,130 min,"Crime, Drama",8.6,79.0,"7,563,397",Crime,Drama,
Sen to Chihiro no kamikakushi,2001,U,125 min,"Animation, Adventure, Family",8.6,96.0,"10,055,859",Animation,Adventure,Family
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,91.0,"216,540,909",Drama,War,
The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy",8.6,61.0,"136,801,374",Crime,Drama,Fantasy
La vita è bella,1997,U,116 min,"Comedy, Drama, Romance",8.6,59.0,"57,598,247",Comedy,Drama,Romance
Se7en,1995,A,127 min,"Crime, Drama, Mystery",8.6,65.0,"100,125,643",Crime,Drama,Mystery
The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6,85.0,"130,742,922",Crime,Drama,Thriller
Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6,90.0,"322,740,140",Action,Adventure,Fantasy
Seppuku,1962,,133 min,"Action, Drama, Mystery",8.6,85.0,,Action,Drama,Mystery
Shichinin no samurai,1954,U,207 min,"Action, Adventure, Drama",8.6,98.0,"269,061",Action,Adventure,Drama
It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6,89.0,,Drama,Family,Fantasy
Joker,2019,A,122 min,"Crime, Drama, Thriller",8.5,59.0,"335,451,311",Crime,Drama,Thriller
Whiplash,2014,A,106 min,"Drama, Music",8.5,88.0,"13,092,000",Drama,Music,
The Intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5,57.0,"13,182,281",Biography,Comedy,Drama
The Prestige,2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5,66.0,"53,089,891",Drama,Mystery,Sci-Fi
The Departed,2006,A,151 min,"Crime, Drama, Thriller",8.5,85.0,"132,384,315",Crime,Drama,Thriller
The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5,85.0,"32,572,577",Biography,Drama,Music
Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5,67.0,"187,705,427",Action,Adventure,Drama
American History X,1998,R,119 min,Drama,8.5,62.0,"6,719,864",Drama,,
The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5,77.0,"23,341,568",Crime,Mystery,Thriller
Léon,1994,A,110 min,"Action, Crime, Drama",8.5,64.0,"19,501,238",Action,Crime,Drama
The Lion King,1994,U,88 min,"Animation, Adventure, Drama",8.5,88.0,"422,783,777",Animation,Adventure,Drama
Terminator 2: Judgment Day,1991,U,137 min,"Action, Sci-Fi",8.5,75.0,"204,843,350",Action,Sci-Fi,
Nuovo Cinema Paradiso,1988,U,155 min,"Drama, Romance",8.5,80.0,"11,990,401",Drama,Romance,
Hotaru no haka,1988,U,89 min,"Animation, Drama, War",8.5,94.0,,Animation,Drama,War
Back to the Future,1985,U,116 min,"Adventure, Comedy, Sci-Fi",8.5,87.0,"210,609,762",Adventure,Comedy,Sci-Fi
Once Upon a Time in the West,1968,U,165 min,Western,8.5,80.0,"5,321,508",Western,,
Psycho,1960,A,109 min,"Horror, Mystery, Thriller",8.5,97.0,"32,000,000",Horror,Mystery,Thriller
Casablanca,1942,U,102 min,"Drama, Romance, War",8.5,100.0,"1,024,560",Drama,Romance,War
Modern Times,1936,G,87 min,"Comedy, Drama, Family",8.5,96.0,"163,245",Comedy,Drama,Family
City Lights,1931,G,87 min,"Comedy, Drama, Romance",8.5,99.0,"19,181",Comedy,Drama,Romance
Capharnaüm,2018,A,126 min,Drama,8.4,75.0,"1,661,096",Drama,,
Ayla: The Daughter of War,2017,,125 min,"Biography, Drama, History",8.4,,,Biography,Drama,History
Vikram Vedha,2017,UA,147 min,"Action, Crime, Drama",8.4,,,Action,Crime,Drama
Kimi no na wa.,2016,U,106 min,"Animation, Drama, Fantasy",8.4,79.0,"5,017,246",Animation,Drama,Fantasy
Dangal,2016,U,161 min,"Action, Biography, Drama",8.4,,"12,391,761",Action,Biography,Drama
Spider-Man: Into the Spider-Verse,2018,U,117 min,"Animation, Action, Adventure",8.4,87.0,"190,241,310",Animation,Action,Adventure
Avengers: Endgame,2019,UA,181 min,"Action, Adventure, Drama",8.4,78.0,"858,373,000",Action,Adventure,Drama
Avengers: Infinity War,2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4,68.0,"678,815,482",Action,Adventure,Sci-Fi
Coco,2017,U,105 min,"Animation, Adventure, Family",8.4,81.0,"209,726,015",Animation,Adventure,Family
Django Unchained,2012,A,165 min,"Drama, Western",8.4,81.0,"162,805,434",Drama,Western,
